iteration,method,population,time in sec,time in clocks,X_found,Y_found,Thetha_found,X_original,Y_original,Thetha_original,global_best
0,0,100,16.377734422683716,45987001921,0.11932758394761223,-0.011964878983837579,-0.5994185214888628,0.0,0.0,0.0,11656.938449784675
1,0,100,15.902569055557251,44652821959,4.61930108500075,-2.2916054264334598,42.30945992608224,3.9997745353039256,1.9999103113884145,44.99995148008031,50090.942884248565
2,0,100,16.03827452659607,45033901830,1.6091710673079618,-5.337917539134198,-81.58010092408134,-3.9999999318331416,-4.999999883022972,60.00005084726444,588698090.1125497
3,0,100,16.656676054000854,46770347298,0.05806823956740814,-0.11584387721790002,173.650143783058,0.0,1.0000000000638591,179.9997473002663,72525.55909699207
4,0,100,16.15229630470276,45354129529,-2.3780689950841634,-2.042425801219011,46.224924116638576,-3.000119383639941,1.999879864946304,42.4022521713589,36496.977277490216
5,0,100,15.955382347106934,44801242215,-4.260076178507501,-0.825795166448378,-14.016775693477985,-5.420114144049511,-1.000036080402431,15.002294807637739,1558659.4614723518
6,0,100,16.407076597213745,46069587913,-7.18336229023349,0.1709457805461767,49.137522230844816,-5.420329651874257,-3.0001506065818058,71.62152674667016,1946677255.4535582
7,0,100,16.033463716506958,45020545724,6.243473930464376,-3.2350351111270257,-101.3787863780005,-5.99999837351753,-5.000135023812119,88.238202386171,5904047.458947452
8,0,100,16.229910135269165,45572176256,-0.7802690102726331,6.634956991058157,8.273470049217952,-0.0002890359263720138,-8.000158586774557,16.048732313356957,15745239.199333718
9,0,100,15.706233263015747,44101765665,-5.158342493220804,1.4108661586639393,-24.599936532107865,6.4501395615586645,1.9999381152545757,154.70003860466974,4.506099064561325e+16
10,0,100,16.417585849761963,46099206907,-3.044587680208595,4.13034339982619,-5.4544373341091426,5.021708359640002,-1.08924846185625,136.5092190571473,866803360827.2686
11,0,100,15.938947677612305,44755256772,1.8821114014443374,-4.307343390778923,41.056329907191895,1.999913251770487,4.999933416250547,30.00543586718581,404133.4251045428
12,0,100,16.510935068130493,46361374086,0.6362992154324765,7.487091450010109,25.431666429599005,1.5000866460446391,7.000010947196477,179.9131297498346,2209078993.799426
13,0,100,15.795623779296875,44352862329,-6.226192393622711,1.3549158714022251,24.30057587204319,-4.700010186307671,7.000112061764319,-45.26106921736535,23666060029.574257
14,0,100,16.12541103363037,45278901080,-6.958447852408856,-0.6587285870725541,-13.816578415665024,-6.000061560547011,-3.0000167121255834,10.00811840024439,18056159.7555559
15,0,100,15.591036081314087,43778438593,1.1348903351416926,4.114801533478774,38.848524077410524,3.0000039112890735,-3.9985081547477384,87.3108289600759,1696792032.7051342
16,0,100,15.742142915725708,44202755447,3.2375471158576374,3.2988616120171734,-47.86034517887822,0.9999999948078133,-4.500000071115526,-87.6625936743308,86203.1444047812
17,0,100,16.4359450340271,46150920328,4.1469647270137635,-1.062630484232086,50.384241053559776,4.000000028359814,0.5000000330400278,49.427605890624385,35879.05031353963
18,0,100,16.582125186920166,46561406414,3.5162396967067213,-1.18829638127988,-58.12726275014811,3.333300038718205,2.2221999547091227,-49.427672646890244,2509571.9000650416
19,0,100,16.291877508163452,45746429333,2.8645748466942234,4.246006961439642,1.5852044635151987,3.1500005606344668,-3.7999999542975864,4.99998631243842,19013.016194621276
0,1,100,6.0007007122039795,16849546308,-0.4011547099046151,0.3873107048844986,-179.17347692585986,0.0,0.0,0.0,117177.84545660147
1,1,100,5.004231214523315,14051531782,4.252718991851971,-1.1558754704985699,50.00257886469476,3.9997745353039256,1.9999103113884145,44.99995148008031,226428.61944492746
2,1,100,5.252333402633667,14748187995,-5.229297261581195,0.9132037719782105,12.387186421701568,-3.9999999318331416,-4.999999883022972,60.00005084726444,1395353.9248644502
3,1,100,5.448393821716309,15298712626,0.41063149249060515,1.420428495039145,-3.193939335565927,0.0,1.0000000000638591,179.9997473002663,75273.95095264899
4,1,100,5.813292741775513,16323326329,3.3501141660805125,4.238341133728081,179.42175654266393,-3.000119383639941,1.999879864946304,42.4022521713589,127156.87158963243
5,1,100,6.673326253890991,18738244658,-3.72047494105328,3.6218671583866087,43.84592967211691,-5.420114144049511,-1.000036080402431,15.002294807637739,293433.57422662416
6,1,100,5.976414918899536,16781368186,-4.379226658242771,3.586835126173751,81.43519216783685,-5.420329651874257,-3.0001506065818058,71.62152674667016,30537.982540963134
7,1,100,5.161288499832153,14492549249,-6.201797633364568,-0.35579974425461103,46.41886537157682,-5.99999837351753,-5.000135023812119,88.238202386171,856906.3985106767
8,1,100,5.273029088973999,14806310918,1.676139992679012,-7.066619983501777,-177.57232214927296,-0.0002890359263720138,-8.000158586774557,16.048732313356957,338865.7558867087
9,1,100,5.5665671825408936,15630549077,6.5601527239574615,-1.4079288073272789,152.79605308197998,6.4501395615586645,1.9999381152545757,154.70003860466974,27131.246125565205
10,1,100,5.489078998565674,15412967955,-5.009280984876637,-0.015593306203655288,-42.060063340817166,5.021708359640002,-1.08924846185625,136.5092190571473,2850915.831024679
11,1,100,5.15550422668457,14476314159,-5.427887723844668,-2.2586653855000103,124.09385815960019,1.999913251770487,4.999933416250547,30.00543586718581,335724.3477440712
12,1,100,5.130730390548706,14406754327,1.331180803681674,-6.803667260901912,-179.82892176668247,1.5000866460446391,7.000010947196477,179.9131297498346,23779.733119506032
13,1,100,5.300896406173706,14884570352,-1.862100916997429,-8.660749021021095,-76.04759891883529,-4.700010186307671,7.000112061764319,-45.26106921736535,77558232.38280961
14,1,100,5.405051231384277,15177030816,6.320435323650685,-1.2154220366931554,-179.79714827391302,-6.000061560547011,-3.0000167121255834,10.00811840024439,254386605.79504046
15,1,100,5.654264211654663,15876807063,-1.3893931486284075,-3.2946861976292663,-115.30284681816691,3.0000039112890735,-3.9985081547477384,87.3108289600759,927487.646820511
16,1,100,4.884308338165283,13714822503,-4.094552433205851,0.6536273057729396,179.30619497749058,0.9999999948078133,-4.500000071115526,-87.6625936743308,26777.07006235367
17,1,100,5.525190591812134,15514380916,-4.08803327872732,1.0858567182292926,-135.9695441972622,4.000000028359814,0.5000000330400278,49.427605890624385,69914.3018786969
18,1,100,5.658473014831543,15888631070,3.3929278354975807,-1.9560640822360078,-46.37058320226965,3.333300038718205,2.2221999547091227,-49.427672646890244,18860.938872086077
19,1,100,5.9417712688446045,16684115420,3.4233145105603207,3.9242153839698055,6.921623002307372,3.1500005606344668,-3.7999999542975864,4.99998631243842,11456.90178265585
0,2,100,7.965230464935303,22365864346,0.5853819225839878,-0.3672074876437055,-7.071513910563311,0.0,0.0,0.0,34279.48597187664
1,2,100,7.227480173110962,20294310715,3.923632699642173,-1.080630137079666,42.30655189897358,3.9997745353039256,1.9999103113884145,44.99995148008031,629002.5221693232
2,2,100,7.1637914180755615,20115479820,-4.637995922521552,3.2778816387548453,35.08132529554405,-3.9999999318331416,-4.999999883022972,60.00005084726444,5763634563.205773
3,2,100,7.509706020355225,21086789744,-0.09477875799958824,-0.9090451377920115,-180.0,0.0,1.0000000000638591,179.9997473002663,11380.973235345817
4,2,100,7.2598021030426025,20385077969,3.2635329839517198,3.6697642782945206,-180.0,-3.000119383639941,1.999879864946304,42.4022521713589,273271.6902851276
