iteration,method,population,time in sec,time in clocks,X_found,Y_found,Thetha_found,X_original,Y_original,Thetha_original,global_best,erro_total
0,0,100,101.88165211677551,286051001825,0.08989210514125823,0.036538129512342366,0.44827994573386043,0.0,0.0,0.0,0.46426590595008377,0.007566733804162975
1,0,100,85.28168559074402,239460393240,3.9542058186201707,-2.2112581630830235,41.77466679559231,3.9997745353039256,1.9999103113884145,44.99995148008031,2.951240721640674,0.22179598368133743
2,0,100,110.96948742866516,311599090782,0.25230473036554457,-2.0637743253795753,-64.06232558970103,-3.9999999318331416,-4.999999883022972,60.00005084726444,14.521409618982043,0.7040442233170081
3,0,100,102.97837734222412,289165211075,0.17727585060836049,0.7525420786172639,-1.8369694334749345,0.0,1.0000000000638591,179.9997473002663,5.856168208626551,0.5263386795298067
4,0,100,91.37204217910767,256587724636,2.3309486742171828,-0.3603259762712341,-106.82134243584886,-3.000119383639941,1.999879864946304,42.4022521713589,15.19936117362591,0.7990736799737547
5,0,100,108.64312863349915,305114992749,-5.3843989974142925,0.6647558710776948,12.245015155360473,-5.420114144049511,-1.000036080402431,15.002294807637739,2.5090311044527818,0.09268446505098188
6,0,100,107.26601028442383,301236077281,-6.596402779642038,2.43536912392519,65.84510427884169,-5.420329651874257,-3.0001506065818058,71.62152674667016,15.438527175851199,0.346625260879929
7,0,100,106.73424911499023,299735351970,0.2860553062153244,-6.5930683543755,-29.403539793055067,-5.99999837351753,-5.000135023812119,88.238202386171,13.248068046632596,0.7207319676793286
8,0,100,92.02576184272766,258426439451,4.184813101626418,2.655414144205986,62.05021121820588,-0.0002890359263720138,-8.000158586774557,16.048732313356957,22.793027989254362,0.8698156292734693
9,0,100,113.66417026519775,319187982014,-6.736396103526399,1.383267785589366,-31.421808388077753,6.4501395615586645,1.9999381152545757,154.70003860466974,8.169490656416611,1.2071654302729233
10,0,100,113.43861937522888,318552145535,-4.692287096290448,-0.8978181298053656,-43.11916993773667,5.021708359640002,-1.08924846185625,136.5092190571473,6.835335609549323,0.9942390366070779
11,0,100,86.7449414730072,243591320466,2.0558732942704854,-5.163542671113623,33.632013988159606,1.999913251770487,4.999933416250547,30.00543586718581,1.7432757472211926,0.5210456346070245
12,0,100,92.38384175300598,259425391498,-4.797974244392504,3.904720494789345,-57.40765434075717,1.5000866460446391,7.000010947196477,179.9131297498346,8.654899613291718,1.1288919673938576
13,0,100,113.04383635520935,317440560830,-3.482672851906699,-6.161430228759009,-48.68968751059721,-4.700010186307671,7.000112061764319,-45.26106921736535,10.112381006321144,0.7284679209496367
14,0,100,106.75082063674927,299727196637,-4.761487806680298,2.8707228052728606,9.878541974968991,-6.000061560547011,-3.0000167121255834,10.00811840024439,8.295058689534667,0.3558255980779118
15,0,100,98.77746605873108,277300543178,1.5229712781103277,3.4266149876243936,33.929295486971554,3.0000039112890735,-3.9985081547477384,87.3108289600759,13.646796400919083,0.5933898262028336
16,0,100,88.21851372718811,247676106662,3.904742716544055,3.231408351788385,-46.880255770430196,0.9999999948078133,-4.500000071115526,-87.6625936743308,4.947429379342971,0.6450918291872871
17,0,100,85.50972127914429,240082423074,4.166556260407168,-0.6938434156996287,43.997557357966,4.000000028359814,0.5000000330400278,49.427605890624385,3.178227598417437,0.08310345218562382
18,0,100,95.34914374351501,267717468767,3.533591263897234,-1.9648902179882164,-50.12548899173232,3.333300038718205,2.2221999547091227,-49.427672646890244,2.9955411347240055,0.22130744862949084
19,0,100,92.33534550666809,259261975724,3.0354205659808713,3.59215353272554,8.557798034618735,3.1500005606344668,-3.7999999542975864,4.99998631243842,3.930700746100359,0.3852194844232258
0,1,100,27.400479078292847,76936822238,0.28015037780930285,0.09453745107540534,0.57081275579202,0.0,0.0,0.0,1.12635561119765,0.020319982432546575
1,1,100,18.55143713951111,52090116423,4.078983694171468,-1.7406735144964216,44.35619874281434,3.9997745353039256,1.9999103113884145,44.99995148008031,2.331906324237321,0.19277785128557995
2,1,100,25.258801698684692,70923793267,6.137924092373442,-2.8600121892253805,-145.88251416875568,-3.9999999318331416,-4.999999883022972,60.00005084726444,11.23833461455131,1.185791599833598
3,1,100,24.062700510025024,67565511985,-0.03195364080879415,-0.904368079038143,180.0,0.0,1.0000000000638591,179.9997473002663,0.8245933864616619,0.09681678793924452
4,1,100,23.615440368652344,66309854992,-2.909047974582762,-2.0165545351404246,42.49052556727551,-3.000119383639941,1.999879864946304,42.4022521713589,0.4880900504060919,0.20562049433474158
5,1,100,22.153400659561157,62204753419,-5.0337986746486765,2.332076904385568,21.837731981195123,-5.420114144049511,-1.000036080402431,15.002294807637739,7.858644811524043,0.2049087481915456
6,1,100,23.56975293159485,66181903824,-4.549124421168069,3.424026373065889,79.5573722308889,-5.420329651874257,-3.0001506065818058,71.62152674667016,3.812713169013408,0.3868131257516352
7,1,100,22.620421648025513,63516402665,6.877511966534154,-2.7907101983387284,-107.05054800758101,-5.99999837351753,-5.000135023812119,88.238202386171,11.082341323467713,1.2968155093700093
8,1,100,28.72584366798401,80660140264,-4.962745356726065,-5.039060443189601,-123.95692268982937,-0.0002890359263720138,-8.000158586774557,16.048732313356957,10.793885747143555,0.7850823204503057
9,1,100,22.090683460235596,62029204056,-5.783158134959111,2.5121161880238,-24.05525251543953,6.4501395615586645,1.9999381152545757,154.70003860466974,9.790947319919134,1.133816263797987
10,1,100,20.825207233428955,58475921138,-4.799464915295571,-1.2121590366111317,-45.07274860600038,5.021708359640002,-1.08924846185625,136.5092190571473,5.186007053401639,1.0015985471043776
11,1,100,17.537766218185425,49245049402,-5.329928046622827,-1.9220660428922578,126.66515416039208,1.999913251770487,4.999933416250547,30.00543586718581,6.6495388436477105,0.9810912553579345
12,1,100,22.509366989135742,63205099461,1.2522659826968585,-6.779777232743433,178.84635554955221,1.5000866460446391,7.000010947196477,179.9131297498346,2.7328395315712557,0.7043437038318356
13,1,100,27.85942268371582,78227880969,4.1679198005900595,7.5817044601752706,128.86751866695226,-4.700010186307671,7.000112061764319,-45.26106921736535,4.079962850153303,0.9561666411663164
14,1,100,24.188273429870605,67919566570,-4.911271566785163,-3.4441847273081345,-43.299347197888736,-6.000061560547011,-3.0000167121255834,10.00811840024439,12.545904215443883,0.2247241937753676
15,1,100,25.71405553817749,72203977838,2.9816040599651075,3.9168976827534685,87.67601133528987,3.0000039112890735,-3.9985081547477384,87.3108289600759,0.38321650595762646,0.3977046799279641
16,1,100,18.46504831314087,51849121602,-0.617567219069203,-4.3212242249670645,93.42404769389572,0.9999999948078133,-4.500000071115526,-87.6625936743308,5.0933902975666285,0.5928356012463476
17,1,100,21.168678760528564,59440854622,-3.1285516050500712,-2.2192928533418312,180.0,4.000000028359814,0.5000000330400278,49.427605890624385,7.093684226148723,0.8550933207378528
18,1,100,23.467888593673706,65897002864,-3.4414521532948985,2.908548526111433,128.00715978555112,3.333300038718205,2.2221999547091227,-49.427672646890244,4.8049889365907275,0.86592957270533
19,1,100,26.262605667114258,73744529171,-3.047850783448599,-3.2551254441113855,180.0,3.1500005606344668,-3.7999999542975864,4.99998631243842,4.755157770580166,0.8232474418455789
0,2,100,46.11399841308594,129486717366,0.1626127243320159,-0.12332511368951415,1.9139783877964192,0.0,0.0,0.0,2.1785718826872373,0.019613498533844333
1,2,100,39.82949733734131,111837011082,-4.971763296081805,1.896878488722228,-141.46117377705372,3.9997745353039256,1.9999103113884145,44.99995148008031,7.895136405548971,0.9716760528613014
2,2,100,42.735748052597046,119996516716,6.2370029388590815,0.7563777466878641,180.0,-3.9999999318331416,-4.999999883022972,60.00005084726444,15.000401142036047,1.133002217111085
3,2,100,45.66210198402405,128213733409,-0.10016014661403716,-0.9520034146924328,-180.0,0.0,1.0000000000638591,179.9997473002663,0.43912957893350835,1.102607476124812
4,2,100,41.7351016998291,117187508346,3.323277852963397,4.014457156769101,-180.0,-3.000119383639941,1.999879864946304,42.4022521713589,5.976946075434193,1.034682760230637
5,2,100,43.523019552230835,122208083797,-5.739140113804831,-0.2252258980223072,7.7179972311776766,-5.420114144049511,-1.000036080402431,15.002294807637739,8.918719058102004,0.07492596754138345
6,2,100,40.05268335342407,112463994631,-5.805724895003335,3.410984606021815,67.67362292106131,-5.420329651874257,-3.0001506065818058,71.62152674667016,11.371705701594255,0.35079292230221504
7,2,100,36.17491030693054,101575780532,-1.7206451563050535,4.9271482512504186,135.94127078576014,-5.99999837351753,-5.000135023812119,88.238202386171,14.719162775530002,0.842840347945943
